onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Olaf	Otter	NRPa	2	Otter5.jpg
28.001	8	2	Gunther	Giraffe	RPminus	2	Giraffe1.jpg
36.002	8	3	Oxley	Otter	NRPb	2	Otter7.jpg
44.002	8	4	Amos	Ape	RPplus	2	Ape4.jpg
52.002	8	5	Edbert	Elephant	RPminus	2	Elephant3.jpg
60.002	8	6	Asher	Ape	RPminus	2	Ape2.jpg
68.002	8	7	Lester	Lion	NRPa	2	Lion3.jpg
76.002	8	8	Luther	Lion	NRPa	2	Lion4.jpg
84.003	8	9	Linton	Lion	NRPa	2	Lion7.jpg
92.003	8	10	Ewan	Elephant	RPplus	2	Elephant6.jpg
100.003	8	11	Orrin	Otter	NRPa	2	Otter1.jpg
108.003	8	12	Glenworth	Giraffe	RPplus	2	Giraffe8.jpg
116.003	8	13	Omar	Otter	NRPa	2	Otter8.jpg
124.004	8	14	Percy	Pig	NRPa	2	Pig1.jpg
132.004	8	15	Lonnie	Lion	NRPb	2	Lion6.jpg
140.004	8	16	Eton	Elephant	RPminus	2	Elephant8.jpg
148.004	8	17	Landin	Lion	NRPb	2	Lion1.jpg
156.004	8	18	Ennis	Elephant	RPplus	2	Elephant7.jpg
164.005	8	19	Osgood	Otter	NRPa	2	Otter6.jpg
172.005	8	20	Pearson	Pig	NRPb	2	Pig8.jpg
180.005	8	21	Patrice	Pig	NRPb	2	Pig5.jpg
188.005	8	22	Elden	Elephant	RPminus	2	Elephant2.jpg
196.005	8	23	Emmet	Elephant	RPplus	2	Elephant4.jpg
204.006	8	24	Angus	Ape	RPplus	2	Ape8.jpg
212.006	8	25	Amin	Ape	RPminus	2	Ape6.jpg
220.006	8	26	Leroy	Lion	NRPb	2	Lion8.jpg
228.006	8	27	Orson	Otter	NRPb	2	Otter2.jpg
236.007	8	28	Prescott	Pig	NRPb	2	Pig7.jpg
244.007	8	29	Alden	Ape	RPplus	2	Ape3.jpg
252.007	8	30	Levar	Lion	NRPb	2	Lion2.jpg
260.007	8	31	Oakley	Otter	NRPb	2	Otter3.jpg
268.008	8	32	Griswold	Giraffe	RPminus	2	Giraffe4.jpg
276.008	8	33	Egan	Elephant	RPminus	2	Elephant5.jpg
284.008	8	34	Anton	Ape	RPplus	2	Ape7.jpg
292.008	8	35	Abner	Ape	RPminus	2	Ape5.jpg
300.008	8	36	Parrish	Pig	NRPa	2	Pig3.jpg
308.009	8	37	Arlen	Ape	RPminus	2	Ape1.jpg
316.009	8	38	Perry	Pig	NRPa	2	Pig4.jpg
324.009	8	39	Garret	Giraffe	RPplus	2	Giraffe7.jpg
332.009	8	40	Efren	Elephant	RPplus	2	Elephant1.jpg
340.009	8	41	Godwin	Giraffe	RPminus	2	Giraffe2.jpg
348.01	8	42	Gordie	Giraffe	RPplus	2	Giraffe5.jpg
356.01	8	43	Luka	Lion	NRPa	2	Lion5.jpg
364.01	8	44	Paxton	Pig	NRPb	2	Pig2.jpg
372.01	8	45	Gino	Giraffe	RPminus	2	Giraffe6.jpg
380.01	8	46	Gifford	Giraffe	RPplus	2	Giraffe3.jpg
388.011	8	47	Pryor	Pig	NRPa	2	Pig6.jpg
396.011	8	48	Odin	Otter	NRPb	2	Otter4.jpg
