onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Arlen	Ape	NRPa	2	Ape3.jpg
28.001	8	2	Olaf	Otter	NRPa	2	Otter3.jpg
36.001	8	3	Gino	Giraffe	RPplus	2	Giraffe1.jpg
44.002	8	4	Levar	Lion	RPminus	2	Lion1.jpg
52.002	8	5	Luka	Lion	RPminus	2	Lion8.jpg
60.002	8	6	Pearson	Pig	NRPa	2	Pig3.jpg
68.002	8	7	Osgood	Otter	NRPb	2	Otter4.jpg
76.002	8	8	Elden	Elephant	RPplus	2	Elephant2.jpg
84.003	8	9	Godwin	Giraffe	RPminus	2	Giraffe5.jpg
92.003	8	10	Orrin	Otter	NRPb	2	Otter1.jpg
100.003	8	11	Prescott	Pig	NRPb	2	Pig4.jpg
108.003	8	12	Ewan	Elephant	RPminus	2	Elephant8.jpg
116.003	8	13	Orson	Otter	NRPb	2	Otter2.jpg
124.004	8	14	Anton	Ape	NRPb	2	Ape2.jpg
132.004	8	15	Gordie	Giraffe	RPplus	2	Giraffe2.jpg
140.004	8	16	Parrish	Pig	NRPa	2	Pig2.jpg
148.004	8	17	Amin	Ape	NRPa	2	Ape1.jpg
156.005	8	18	Edbert	Elephant	RPplus	2	Elephant4.jpg
164.005	8	19	Alden	Ape	NRPa	2	Ape7.jpg
172.005	8	20	Angus	Ape	NRPb	2	Ape4.jpg
180.005	8	21	Patrice	Pig	NRPa	2	Pig6.jpg
188.005	8	22	Landin	Lion	RPplus	2	Lion6.jpg
196.005	8	23	Leroy	Lion	RPplus	2	Lion3.jpg
204.006	8	24	Pryor	Pig	NRPb	2	Pig5.jpg
212.006	8	25	Gifford	Giraffe	RPplus	2	Giraffe4.jpg
220.006	8	26	Eton	Elephant	RPplus	2	Elephant7.jpg
228.006	8	27	Garret	Giraffe	RPminus	2	Giraffe7.jpg
236.006	8	28	Perry	Pig	NRPb	2	Pig8.jpg
244.006	8	29	Egan	Elephant	RPminus	2	Elephant3.jpg
252.007	8	30	Amos	Ape	NRPb	2	Ape6.jpg
260.007	8	31	Luther	Lion	RPplus	2	Lion2.jpg
268.007	8	32	Lester	Lion	RPminus	2	Lion5.jpg
276.007	8	33	Asher	Ape	NRPa	2	Ape5.jpg
284.008	8	34	Gunther	Giraffe	RPplus	2	Giraffe8.jpg
292.008	8	35	Oxley	Otter	NRPb	2	Otter7.jpg
300.008	8	36	Efren	Elephant	RPminus	2	Elephant5.jpg
308.008	8	37	Griswold	Giraffe	RPminus	2	Giraffe6.jpg
316.008	8	38	Percy	Pig	NRPa	2	Pig1.jpg
324.009	8	39	Linton	Lion	RPminus	2	Lion4.jpg
332.009	8	40	Paxton	Pig	NRPb	2	Pig7.jpg
340.009	8	41	Lonnie	Lion	RPplus	2	Lion7.jpg
348.009	8	42	Emmet	Elephant	RPplus	2	Elephant6.jpg
356.009	8	43	Glenworth	Giraffe	RPminus	2	Giraffe3.jpg
364.009	8	44	Oakley	Otter	NRPa	2	Otter5.jpg
372.01	8	45	Abner	Ape	NRPb	2	Ape8.jpg
380.01	8	46	Ennis	Elephant	RPminus	2	Elephant1.jpg
388.01	8	47	Omar	Otter	NRPa	2	Otter8.jpg
396.01	8	48	Odin	Otter	NRPa	2	Otter6.jpg
